,date,parks,away,home,homewin,etcs,times,day,visit,place,number_audience
0,2018/03/24,문학,롯데,SK,win,-, 14:00 ,토,롯데,문학,25000
1,2018/03/25,문학,롯데,SK,win,-, 14:00 ,일,롯데,문학,22765
2,2018/03/27,문학,KT,SK,win,-, 18:30 ,화,KT,문학,6067
3,2018/03/28,문학,KT,SK,lose,-, 18:30 ,수,KT,문학,5701
4,2018/03/29,문학,KT,SK,lose,-, 18:30 ,목,KT,문학,5936
5,2018/03/30,대전,SK,한화,lose,-, 18:30 ,금,SK,대전,10354
6,2018/03/31,대전,SK,한화,lose,-, 17:00 ,토,SK,대전,13000
7,2018/03/24,고척,한화,넥센,win,-, 14:00 ,토,한화,고척,15055
8,2018/03/25,고척,한화,넥센,lose,-, 14:00 ,일,한화,고척,13010
9,2018/03/27,마산,한화,NC,win,-, 18:30 ,화,한화,마산,5037
10,2018/03/28,마산,한화,NC,lose,-, 18:30 ,수,한화,마산,5003
11,2018/03/29,마산,한화,NC,win,-, 18:30 ,목,한화,마산,4872
12,2018/03/27,고척,LG,넥센,win,-, 18:30 ,화,LG,고척,4401
13,2018/03/28,고척,LG,넥센,lose,-, 18:30 ,수,LG,고척,4437
14,2018/03/29,고척,LG,넥센,win,-, 18:30 ,목,LG,고척,4219
15,2018/03/30,대구,넥센,삼성,lose,-, 18:30 ,금,넥센,대구,11683
16,2018/03/31,대구,넥센,삼성,lose,-, 17:00 ,토,넥센,대구,16572
17,2018/03/24,광주,KT,KIA,lose,-, 14:00 ,토,KT,광주,20500
18,2018/03/25,광주,KT,KIA,win,-, 14:00 ,일,KT,광주,20500
19,2018/03/27,광주,삼성,KIA,win,-, 18:30 ,화,삼성,광주,6892
20,2018/03/28,광주,삼성,KIA,lose,-, 18:30 ,수,삼성,광주,8347
21,2018/03/29,광주,삼성,KIA,win,-, 18:30 ,목,삼성,광주,7839
22,2018/03/30,잠실,KIA,LG,lose,-, 18:30 ,금,KIA,잠실,22667
23,2018/03/31,잠실,KIA,LG,win,-, 17:00 ,토,KIA,잠실,25000
24,2018/03/24,잠실,삼성,두산,lose,-, 14:00 ,토,삼성,잠실,25000
25,2018/03/25,잠실,삼성,두산,win,-, 14:00 ,일,삼성,잠실,20240
26,2018/03/27,잠실,롯데,두산,win,-, 18:30 ,화,롯데,잠실,10391
27,2018/03/28,잠실,롯데,두산,win,-, 18:30 ,수,롯데,잠실,10382
28,2018/03/29,잠실,롯데,두산,win,-, 18:30 ,목,롯데,잠실,10956
29,2018/03/30,사직,NC,롯데,lose,-, 18:30 ,금,NC,사직,21124
30,2018/03/31,사직,NC,롯데,lose,-, 17:00 ,토,NC,사직,25000
31,2018/03/30,수원,두산,KT,lose,-, 19:00 ,금,두산,수원,13562
32,2018/03/31,수원,두산,KT,win,-, 17:00 ,토,두산,수원,16852
33,2018/03/24,마산,LG,NC,win,-, 14:00 ,토,LG,마산,11000
34,2018/03/25,마산,LG,NC,win,-, 14:00 ,일,LG,마산,11000
35,2018/04/01,대전,SK,한화,lose,-, 14:00 ,일,SK,대전,9528
36,2018/04/03,문학,KIA,SK,win,-, 18:30 ,화,KIA,문학,15052
37,2018/04/04,문학,KIA,SK,lose,-, 18:30 ,수,KIA,문학,14639
38,2018/04/07,문학,삼성,SK,win,-, 17:00 ,토,삼성,문학,17581
39,2018/04/08,문학,삼성,SK,lose,-, 14:00 ,일,삼성,문학,15144
40,2018/04/10,잠실,SK,LG,lose,-, 18:30 ,화,SK,잠실,8069
41,2018/04/11,잠실,SK,LG,win,-, 18:30 ,수,SK,잠실,8940
42,2018/04/12,잠실,SK,LG,win,-, 18:30 ,목,SK,잠실,9825
43,2018/04/13,문학,NC,SK,win,-, 18:30 ,금,NC,문학,7945
44,2018/04/14,문학,NC,SK,win,-, 17:00 ,토,NC,문학,9939
45,2018/04/15,문학,NC,SK,win,-, 14:00 ,일,NC,문학,15471
46,2018/04/17,수원,SK,KT,lose,-, 18:30 ,화,SK,수원,4237
47,2018/04/18,수원,SK,KT,lose,-, 18:30 ,수,SK,수원,4312
48,2018/04/19,수원,SK,KT,lose,-, 18:30 ,목,SK,수원,4640
49,2018/04/20,사직,SK,롯데,win,-, 18:30 ,금,SK,사직,8647
50,2018/04/21,사직,SK,롯데,win,-, 17:00 ,토,SK,사직,17911
51,2018/04/22,사직,SK,롯데,lose,-, 14:00 ,일,SK,사직,11364
52,2018/04/24,문학,두산,SK,lose,-, 18:30 ,화,두산,문학,7929
53,2018/04/25,문학,두산,SK,win,-, 18:30 ,수,두산,문학,14201
54,2018/04/26,문학,두산,SK,win,-, 18:30 ,목,두산,문학,15020
55,2018/04/27,고척,SK,넥센,lose,-, 18:30 ,금,SK,고척,3260
56,2018/04/28,고척,SK,넥센,lose,-, 17:00 ,토,SK,고척,7185
57,2018/04/29,고척,SK,넥센,win,-, 14:00 ,일,SK,고척,5712
58,2018/04/03,대전,롯데,한화,win,-, 18:30 ,화,롯데,대전,5740
59,2018/04/04,대전,롯데,한화,win,-, 18:30 ,수,롯데,대전,3891
60,2018/04/07,수원,한화,KT,win,-, 17:00 ,토,한화,수원,14746
61,2018/04/08,수원,한화,KT,lose,-, 14:00 ,일,한화,수원,12840
62,2018/04/10,대전,KIA,한화,win,-, 18:30 ,화,KIA,대전,6539
63,2018/04/11,대전,KIA,한화,win,-, 18:30 ,수,KIA,대전,7545
64,2018/04/12,대전,KIA,한화,win,-, 18:30 ,목,KIA,대전,8577
65,2018/04/13,대전,삼성,한화,lose,-, 18:30 ,금,삼성,대전,8072
66,2018/04/14,대전,삼성,한화,win,-, 17:00 ,토,삼성,대전,8783
67,2018/04/15,대전,삼성,한화,win,-, 14:00 ,일,삼성,대전,13000
68,2018/04/17,잠실,한화,두산,lose,-, 18:30 ,화,한화,잠실,16073
69,2018/04/18,잠실,한화,두산,win,-, 18:30 ,수,한화,잠실,16437
70,2018/04/19,잠실,한화,두산,win,-, 18:30 ,목,한화,잠실,16104
