"","date","home.x","visit","place","number_audience","homewin"
"1","2019/03/23","KIA","LG","광주",20500,"lose"
"2","2019/03/23","NC","삼성","창원",22112,"win"
"3","2019/03/23","SK","KT","문학",21909,"win"
"4","2019/03/23","두산","한화","잠실",25000,"win"
"5","2019/03/23","롯데","키움","사직",24500,"lose"
"6","2019/03/24","KIA","LG","광주",17597,"lose"
"7","2019/03/24","NC","삼성","창원",20067,"lose"
"8","2019/03/24","SK","KT","문학",15421,"win"
"9","2019/03/24","두산","한화","잠실",25000,"lose"
"10","2019/03/24","롯데","키움","사직",22218,"win"
"11","2019/03/26","KIA","한화","광주",5553,"lose"
"12","2019/03/26","NC","KT","창원",4782,"win"
"13","2019/03/26","SK","LG","문학",6718,"lose"
"14","2019/03/26","두산","키움","잠실",6155,"win"
"15","2019/03/26","롯데","삼성","사직",7345,"win"
"16","2019/03/27","KIA","한화","광주",6251,"win"
"17","2019/03/27","NC","KT","창원",5154,"win"
"18","2019/03/27","SK","LG","문학",6319,"win"
"19","2019/03/27","두산","키움","잠실",5784,"win"
"20","2019/03/27","롯데","삼성","사직",8136,"lose"
"21","2019/03/28","KIA","한화","광주",5629,"win"
"22","2019/03/28","NC","KT","창원",4757,"win"
"23","2019/03/28","SK","LG","문학",8053,"win"
"24","2019/03/28","두산","키움","잠실",6752,"lose"
"25","2019/03/28","롯데","삼성","사직",7625,"lose"
"26","2019/03/29","KT","KIA","수원",16156,"win"
"27","2019/03/29","LG","롯데","잠실",19370,"win"
"28","2019/03/29","삼성","두산","대구",12361,"lose"
"29","2019/03/29","키움","SK","고척",5435,"lose"
"30","2019/03/29","한화","NC","대전",12152,"win"
"31","2019/03/30","KT","KIA","수원",11475,"win"
"32","2019/03/30","LG","롯데","잠실",20601,"lose"
"33","2019/03/30","삼성","두산","대구",20559,"lose"
"34","2019/03/30","키움","SK","고척",7330,"win"
"35","2019/03/30","한화","NC","대전",11239,"win"
"36","2019/03/31","KT","KIA","수원",13861,"lose"
"37","2019/03/31","LG","롯데","잠실",21267,"win"
"38","2019/03/31","삼성","두산","대구",14084,"lose"
"39","2019/03/31","키움","SK","고척",5682,"lose"
"40","2019/03/31","한화","NC","대전",11878,"lose"
"41","2019/04/02","NC","키움","창원",4602,"lose"
"42","2019/04/02","SK","롯데","문학",6556,"lose"
"43","2019/04/02","두산","KT","잠실",6091,"win"
"44","2019/04/02","삼성","KIA","대구",4818,"lose"
"45","2019/04/02","한화","LG","대전",6619,"win"
"46","2019/04/03","NC","키움","창원",4945,"win"
"47","2019/04/03","SK","롯데","문학",6457,"lose"
"48","2019/04/03","두산","KT","잠실",5811,"win"
"49","2019/04/03","삼성","KIA","대구",5777,"win"
"50","2019/04/03","한화","LG","대전",6002,"lose"
"51","2019/04/04","NC","키움","창원",4806,"lose"
"52","2019/04/04","SK","롯데","문학",7352,"win"
"53","2019/04/04","두산","KT","잠실",5427,"win"
"54","2019/04/04","삼성","KIA","대구",5863,"win"
"55","2019/04/04","한화","LG","대전",6650,"win"
"56","2019/04/05","KIA","키움","광주",7048,"win"
"57","2019/04/05","KT","LG","수원",5671,"lose"
"58","2019/04/05","SK","삼성","문학",9178,"win"
"59","2019/04/05","두산","NC","잠실",10365,"lose"
"60","2019/04/05","롯데","한화","사직",11451,"win"
"61","2019/04/06","KIA","키움","광주",15302,"lose"
"62","2019/04/06","KT","LG","수원",8509,"win"
"63","2019/04/06","SK","삼성","문학",14617,"win"
"64","2019/04/06","두산","NC","잠실",14279,"lose"
"65","2019/04/06","롯데","한화","사직",23305,"win"
"66","2019/04/07","KT","LG","수원",12563,"win"
